,tt,date,dt,db,freq,day_or_night,weather,power,band,pos_towers,average_distance
120,1043,20221101,0.12569444444444444,-13.034722222222221,1390.3402777777778,1,0,5.0,40,22,477.40909090909093
122,1109,20221108,-0.3157894736842105,-18.157894736842106,1842.1052631578948,1,0,6.0,40,23,492.1304347826087
121,1144,20221108,0.2537313432835821,-12.514925373134329,1708.5820895522388,1,0,6.0,20,38,1108.6842105263158
123,1632,20221116,-0.2532258064516129,-13.383064516129032,1725.733870967742,1,0,6.0,40,23,829.4230769230769
124,1628,20221116,-0.24731182795698925,-13.67741935483871,1411.52688172043,1,0,6.0,20,7,1652.7142857142858
127,1513,20221118,0.2185840707964602,-13.693215339233038,1507.448377581121,1,0,7.0,20,13,1511.2307692307693
128,1525,20221118,0.09222972972972975,-12.057432432432432,1606.7804054054054,1,0,7.0,40,36,428.44444444444446
237,1316,20221206,0.11379310344827585,-14.568965517241379,1515.103448275862,1,0,5.0,40,16,382.75
238,1310,20221206,0.1587878787878788,-12.969696969696969,1484.8484848484848,1,0,5.0,20,27,1349.3333333333333
241,1708,20221214,0.35924170616113743,-14.151658767772512,1567.7630331753555,1,0,8.0,40,7,970.0
242,1703,20221214,0.37,-11.6,1154.4,1,0,,20,0,
245,1704,20221219,0.14232804232804233,-10.989417989417989,1400.3650793650793,1,0,10.0,40,7,460.57142857142856
246,1659,20221219,0.1426666666666667,-11.595555555555556,1607.8666666666666,1,0,10.0,20,23,1719.3478260869565
257,1156,20221227,0.12521739130434784,-9.330434782608696,1477.878260869565,1,0,6.0,40,27,458.18518518518516
258,1149,20221227,0.14805194805194807,-12.032467532467532,1602.7824675324675,1,0,6.0,20,22,890.8636363636364
491,1157,20230105,0.11739130434782603,-17.804347826086957,1417.0434782608695,1,0,9.0,40,11,257.54545454545456
490,1202,20230105,0.047619047619047616,-15.095238095238095,1528.3945578231292,1,0,9.0,20,27,1082.111111111111
497,1127,20230118,0.3796407185628742,-12.604790419161677,1403.185628742515,1,0,8.0,20,25,901.4
496,1118,20230118,0.2866666666666667,-16.833333333333332,1637.9333333333334,1,0,8.0,40,21,435.14285714285717
499,1700,20230122,0.0647878787878788,-12.22060606060606,1428.8933333333334,1,0,7.0,20,16,1399.0
498,1800,20230122,0.19642682329907,-12.521781693587862,1567.4610866372982,1,0,7.0,40,5,655.6
54,1123,20230203,0.3261904761904762,-15.595238095238095,1341.2142857142858,1,0,6.0,40,25,390.64
